id,text,invalidation_pred,invalidation_gold
eng_02fdc210c75b2ec254444748b32406bb,November 3rd was a stolen election,1,1
eng_0563bec36b7e55eec87074991543adb1,"Iran and Hezbollah are targeting military targets in line with the rules of engagement, ironically enough its Israel using human shields to protect their military targets.",1,1
eng_06110f248b7d943fdfe237bfb137d17c,They only look like theyre further left because of how extreme right your party has shifted,1,1
eng_077cf5b26aea6ff551bd0959be4dbeba,"Hamas started it, Hamas could stop it in a sec, its all Hamas fault. Simple enough.",1,1
eng_0917a33dc6701ea02574f13783d7ad33,"If your ""patriotism"" only extends to those who agree with you, its not patriotism its nationalism.",1,1
eng_0f5806ce1f19f1f8e351b3ba437daabf,right well enjoy the ban on xenophobia then,1,1
eng_110481aac87e0a1448a2b530ae2c2c55,"Soo why dont we have a ""Project 2025"" on the left that we all agree is the playbook? Seems like what the left policies non corporate populism are quite agreeable to most. Call it ""Progress 2026"" or something.",1,1
eng_122a5213a0891c1ea6bc5724cdbd2634,So where are all the second amendment people now that we have a tyrannical government? Seems about time for that well regulated militia part.,1,1
eng_13d28fc88b7b0e45c306b17497ad813b,"If you were more concerned about crime, you should increase the number of immigrants and asylum seekers. So it isnt about crime.",1,1
eng_1502b2534ea8152b043e6f285afb9182,ha ha corporate narrative peddlers are the enemy of the people,1,1
eng_163ce99477bb7c3360bed270b8a993d9,"Jimmy Carter, I believe, is probably the only President of the United States who never knowingly or intentionally lied to the American people. America loves liars. We love to be lied to. Our entire national identity is built on a foundation of outright lies maliciously whitewashed history.",1,1
eng_16d947e688dc4373b262c9312a4e2a51,"Its not ""the antigenocide wing"". There isnt a genocide except via twisting that term. Use of it reflects preexisting ideological commitment hatred of Jewish selfdetermination. Amnesty said in 2022 Israel shouldnt be a Jewish state. This is just a rhetorical escalation of propaganda",1,1
eng_195f1eb1c477c7c42a091e3c6eb4d806,Mail in ballots is equal to cheating opportunity,1,1
eng_1a22bf6feacaa504ba151f6466c80a3c,Happy insurrection day! The day where a bunch of idiots followed their cult leader Into attempting a coup. jan6 trump embarrasing election,1,1
eng_1c24b4b8e46174f044ebf2142fb5dea4,Trump loathes her as well. Now she is the target of a Chinese election fraud campaign. And china is trumps back pocket now,1,1
eng_1f0c6e128f4771c44fa9292ae3c094d7,"After stealing credit for the hostage release that Carter brokered, Reagans FIRST EO, was to remove the solar panels and doom the US to fossil fuel dependency and all the war death and violence because of it. Republicans are vile sociopaths. PERIOD. Capitalism is destroying US.",1,1
eng_1fbc9794ed2812edc299ecdb71ad975e,The medical field has been coopted by the radical gender ideology,1,1
eng_215567b15a128e428d09b77a4e7e1070,Zionism Apartheid and illegal settlements and genocide. AntiZionism Humanity and truth. FUCK ZIONISM. ITS RUINING AMERICA.,1,1
eng_21be788954d962134e4925b2d34fcbaa,"In the absence of gender ideology, there are still gays and lesbians...",1,1
eng_23e9f7aa08bc3fac81fc320280116d98,"teh shared values in this case are, colonization, ethnic cleansing, massacres, and cultural genocides.",1,1
