id,text,stereotype_pred,stereotype_gold
fas_00602a2d1aac35fede9894b96ce012f0,بچه‌مدرسه‌ای که بودم، این کتاب گنده‌های دانشجوها رو می‌دیدم با خودم می‌گفتم اینا رو چه‌جوری میخونن؟؟ دانشجو که شدم فهمیدم اصلا نمیخوننش,1,1
fas_0105bd84fc4c9f0c8281ea19f3dba2aa,واقعا دلیل این همه نفرتتون نسبت به دانشجو های پزشکی ،یوتیوبر ها و واینر ها چیه؟,1,1
fas_0242c5503df84339ad8ae95bffb9b42d,توییتر ثابت کرد ما ایرانیا ظرفیت آزادی بیان نداریم,1,1
fas_04b84945642c777f283c1b03d539b238,برخلاف عرزشی و آخوند بی وطن و وطن فروش,1,1
fas_069bd609b72499643bd07193a3c48e2a,اینا که تو مصادره حرف ندارن، مردم شعار  میدادن #ژن_ژیان_ئازادی  منوتو میگفت مردم سنندج میگن ژیان ژیان پهلوی,1,1
fas_08bec4cc005e43e445486cb10020240f,خوب موقعی ک شما و دوستاتون مسئول بودین کلا این گشت ارشاد و منحل میکردین یه مشت بی ناموس دروغ گو شدن مسئول ریدم تو چپو راستتون,1,1
fas_08d4d7a6f1b725fbd19a1455aaf9e536,در اصل حجاب قانون شریعتی هست، حکومت هم بر دو قانون جلو میره. یکیش قانون اساسی یکی دیگه قانون شریعتی,1,1
fas_0bf4552278b4850275bab6c88a34f146,به عنوان چپ ها هرگز نفهمیدیم و انقلابمون مصادره شد.,1,1
fas_137e6117f2e66280c0b7d22dce8a87c5,همه فکر میکنن سبک زندگیشون بگاییه درحالی که خیلیا ارزوی همچین سبک زندگی ای رو دارن,1,1
fas_1e99725db51b9900f5baa06fd251ae46,سبک زندگی جماعت ایتالیایی رو کلا برده زیر سوال، بیا بلاکش کنیم.,1,1
fas_1ed613a951be2ddd2f4d3bb297ee5374,من همه‌ی آنچه شما می خواهی را در شکل پادشاهی مشروطه میخواهم,1,1
fas_217a84098008b22404e66a53f11947a1,غیرتتون با تن فروشیه دختران و زنان ،بدلیل فقر و نداری در مشهد و کشورهای خلیج فارس تکونتون نمیده؟لطفا شعر نگین,1,1
fas_2e6a4c5726ba38370374ad2e2183c867,شما یه نمونه گشت ارشاد به ما نشون بده اگه بود که وضعیت جامعه اینطور نبود  دیگه تقریبا همه لخت هستن,1,1
fas_316d103a221c7d66169d1d9fba802d2f,احساس خطر کردی آقای عبدالله مومنی رانت خوار؟ همه دشمنان ایران به کمک جمهوری اسلامی شتافتند,1,1
fas_3245db40de78a562a14152cc6b16a2fa,در روز جهانی زن حرفی ندارم بزنم جز حرف همیشگیم: استقلال استقلال استقلال,1,1
fas_33d39a7ddd7da31e82f584eaccbdc1aa,خب به نظرم مردم نباید همبرگر بخورند و قناعت بکنند !  یعنی چی این سبک زندگی معمولی! یکم فقیرانه زندگی کن خب.,1,1
fas_346a544f88b6d6caae6ebfa9a80d2966,یعنی فقط جوری که این مسلمونها از آزادی بیان غربی‌ها برای خفه کردن صدای مخالف‌هاشون تو سوشال مدیا استفاده میکنن برام حیرت‌انگیزه,1,1
fas_3811529a997c01fbb606172dc4640cdf,حالا چیکار کنیم‌ به این زنایی که یه اسم‌ از حقوق زنان شنیدن دیگه بهشون نمیشه بگی تو =)))) هاااا بکنی هم جیغ میزنن,1,1
fas_3db55bea7536bbb3161b2936d2551f50,دموکرات ها دخل ترامپ و پمپئو رو میخوان در بیارن بندازن گردن نوکرانش ج.ا,1,1
fas_3e485b07c31b4e5573db934c1e5cdef6,نه فقط اون من خیلیا رو دیدم که فمنیست هستن و بیشتر مرد ستیزن تا حامی حقوق زنان!  و کارهایی میکنن که ادم حالش به هم میخوره,1,1
fas_440f26da61847e5e0f3ba6c31e31a356,مصادره شدنی نیست؟!  پس شما سلطنت‌طلبها چکارش کردین؟,1,1
fas_4482d3ca2a6f2ba2ca8112474563fb02,در اینکه متولیان گشت ارشاد احمقن شکی نیست کافیه یه امار بگیرند و میزان نفرت مردم از کاراشون را,1,1
fas_452258ee50c78c08efb3730fed506765,عجب! شما عرزشیها کلا عقل ندارین نظام انگلیس مشروطه سلطنتیه اما نظام حال حاضر ایران جمهوریه آخوندها دارن اینم موروثی میکنن,1,1
fas_4c73955a7e9fdf19da9a2fc3cedc4c62,الان نت همون عرزشیایی هم که میگفتن ما توی ایران آزادی بیان داریم قطع شده یعنی؟:)),1,1
fas_4cb0002218cdce0c30dedd1719390459,مشروطه خواهان اونایی بودند که در مجلس بودند و رای دادند به برگزاری مجلس موسسان جهت اعلام انقراض سلسله قاجار و شکل گیری پهلوی :),1,1
fas_517cbbb2eecc158abb9e109f7fd471f0,اصلاح: ایران جزو بهترین و موفق ترین کشور ها در ریدن به  حقوق زنان است,1,1
fas_51bcd5f8f6777b65d7ac71b01e4b11ee,وقتی ب دانشجو مثلا نخبه (پخمه) رو میدین نتیجش میشه این. حداقل اخراج باید عواقب خوبی باشه برای این جماعت.,1,1
fas_5219951d739ff9f75bc012ed7df8c0f5,بسیجیا دارن گونی میارن واسه عرض ادب خدمت برعن دازان,1,1
fas_56f406e7f8cb67c998d135613d5af025,با تأسف طلوع نیوز هم گوش و زبان یک گروه تروریستی شده است یک روزی خودش را حامی آزادی بیان می نامید,1,1
