id,text,gender/sexual_pred,gender/sexual_gold
fas_029e9cc12bfaa0edd5cfbb75bf20e450,به مناسبت روز جهانی رفع #خشونت_علیه_زنان خواستار  آزادی فوری مدافعان حقوق زنان و حفاظت از آزادی بیان، تجمع و اعتراض مسالمت‌آمیز هستم.,1,1
fas_08eed15c7af5f65b4dbd41461c7e266a,زن ایرانی دختر ایرانی ناموس شرف و خط قرمز ماست با حجاب بی حجاب مث کوه پشتیبان و حامیش هستیم,1,1
fas_11626c46a83f0265a95cb8117e3db5fb,اعتراض یک زن با برهنه شدن علیه حجاب اجباری در سعادت‌آباد تهران,1,1
fas_14153f9bbcd16fcb96a45691b5042148,والا اتفاقا تو ایران بنظرم در مقابل حقایی که زن نداره مهریه بالا چیز خوبیه واس تهدید و فلان ک البته بازم ب درد نمیخوره:)),1,1
fas_217a84098008b22404e66a53f11947a1,غیرتتون با تن فروشیه دختران و زنان ،بدلیل فقر و نداری در مشهد و کشورهای خلیج فارس تکونتون نمیده؟لطفا شعر نگین,1,1
fas_2c405773a33b5f6cf723679131349e95,کسی که مطالبه‌ی حقوق زنان رو احساساتی شدن می‌دونه، به دنبال یک نظام باثبات و پویاست. مضحکه.,1,1
fas_3811529a997c01fbb606172dc4640cdf,حالا چیکار کنیم‌ به این زنایی که یه اسم‌ از حقوق زنان شنیدن دیگه بهشون نمیشه بگی تو =)))) هاااا بکنی هم جیغ میزنن,1,1
fas_3ccbccc71a667df039ca16fa856e6f0b,با این فکر که «حجاب هیچوقت انتخابی نیست» بریم بیرون شاید بهتر شه,1,1
fas_3e485b07c31b4e5573db934c1e5cdef6,نه فقط اون من خیلیا رو دیدم که فمنیست هستن و بیشتر مرد ستیزن تا حامی حقوق زنان!  و کارهایی میکنن که ادم حالش به هم میخوره,1,1
fas_499cff60bc79c517fea325007cfbade6,چطور زنان امکان دارد حقوق زنان بستگی به سرعت وسیله نقلیه داشته باشد.,1,1
fas_517cbbb2eecc158abb9e109f7fd471f0,اصلاح: ایران جزو بهترین و موفق ترین کشور ها در ریدن به  حقوق زنان است,1,1
fas_5250fe9efaa4e24e8835e60a589a8b58,قاضی محترم هم چشم در چشم من فرمودن، مهریه از بیخ و بن حق شما بانوان نبوده و نیست و ....,1,1
fas_58648281771a6cdf08adbca7440d62ce,چند وقت پیش توی اینستا میخوندم که: تا حالا دیدید خانومی رو که بخواد از حق سپور شهرداری یا کارگر ساختمانی شدن حرفی بزنه و حنجرشو جر بده؟ خانمها تنها جاهایی که به نفعشونه دنبال حقوق برابرن. (ارث، دیه، بعضی از منصب های مهم و...)  +من به شخصه این متنو که نوشتم نه تایید میکنم نه رد!!,1,1
fas_68ec295b90f9c17f670f5012b2dfaca8,بعد بی شرف ها فقط صحبت از نقض حقوق زنان در ایران می کنند!,1,1
fas_6a38b37a767bf8b13d5f2e88291cdd42,پسرای دانشجو چالش سختی دارن. قراره برا اولین بار دخترای کلاس بدون افکت ببینن,1,1
fas_6a9dd09b1e31b81803c2d06fd5bb44ee,تو تهران هم انگار برای زنان عابر پیاده مسیج حجاب می‌فرستن. تکنولوژیش رو اینجا هم آوردن. لعنت بهتون. چقدر تن ما رو لرزوندید تو این زندگی.,1,1
fas_6bfdc917a379217bfddc37bd3fb49432,اگر روی زمین زندگی می‌کنید و سکوت کنید، دیگر هیچ زمانی نمی‌توانید در مورد حقوق زنان صحبت کنید.»,1,1
fas_6e49293f7bad2b1f5838c2eb5a0d4814,خوشبختانه شوهره بهش وکالت طلاق داده. امیدوارم همین روزا راحت بشه,1,1
fas_761431203f1bb77838e61292a11ec28e,لاشیا حداقل تو اعتراضات و اعتراضاتی که برای دفاع از حقوق زنان شروع کردید به زنان رحم کنید,1,1
fas_78802788d546d1a258807f8bbdaf7ed9,مسئله اینه که تو ایران هم زیر حجاب پدرسالاری از تو موی بلند می‌خواد، موی بلند با مادستی زنانه گره خورده تو خیلی از فرهنگ‌ها,1,1
fas_7d2c61c7205c30c1b0427e1a295638ef,مردان سرزمینم‌ کی حامی حقوق زنان بودن ؟چیکار کردن برای این موضوع ؟,1,1
fas_7efc52a46bc670b2ea9d3d1133c9bd5d,دلم می‌خواد هرچی مرد هست که نظر میدن «جمهوری اسلامی دیگه کاری به حجاب زن‌ها نداره» رو خفه کنم!,1,1
fas_8087a831c75594c4ac91fe478bfe8410,آخه اسکول مشکل مگه فقط حجاب دخترهاست . تو خودت آمریکا چکار میکنی چرا نمیایی ایران تو که مشکل حجاب نداری,1,1
fas_82ec3df84242decb698aa870616529a2,پارک دانشجو پر معتاد و ترنس یا پیرمرد ما ادم عادی ندیدیم😔,1,1
fas_83a3f1ea31d3f9d99bc70bb57e90c14a,نمیدونم چرا از این اینفلوئنسرهای حجابی گرل ها بدم میاد ، نه به خاطر اینکه حجاب دارن ها به خاطر اینکه ادایی هستن و همش شو آف😒,1,1
